"Total_Value","Year","Month","Day","Hour","Ventilation","Sokets_Plug","Lighting","Other_Electricity","Cooling","Heating","Y.Ventilation","Y.Sokets_Plug","Y.Lighting","Y.Other_Electricity","Y.Cooling","Y.Heating"
328.688,2021,6,16,6,84.875,22.75,14.938,0,200.125,6,0.25758779208156,0.0698913249489328,0.0462891551100582,0.00115740740740741,0.605789286440276,0.0192850340117657
328.688,2021,6,16,13,84.875,22.75,14.938,0,200.125,6,0.25758779208156,0.0698913249489328,0.0462891551100582,0.00115740740740741,0.605789286440276,0.0192850340117657
328.688,2021,6,16,20,84.875,22.75,14.938,0,200.125,6,0.25758779208156,0.0698913249489328,0.0462891551100582,0.00115740740740741,0.605789286440276,0.0192850340117657
328.688,2021,6,16,23,84.875,22.75,14.938,0,200.125,6,0.25758779208156,0.0698913249489328,0.0462891551100582,0.00115740740740741,0.605789286440276,0.0192850340117657
328.688,2021,6,17,1,84.875,22.75,14.938,0,200.125,6,0.25758779208156,0.0698913249489328,0.0462891551100582,0.00115740740740741,0.605789286440276,0.0192850340117657
328.688,2021,6,17,6,84.875,22.75,14.938,0,200.125,6,0.25758779208156,0.0698913249489328,0.0462891551100582,0.00115740740740741,0.605789286440276,0.0192850340117657
328.688,2021,6,17,8,84.875,22.75,14.938,0,200.125,6,0.25758779208156,0.0698913249489328,0.0462891551100582,0.00115740740740741,0.605789286440276,0.0192850340117657
328.688,2021,6,17,14,84.875,22.75,14.938,0,200.125,6,0.25758779208156,0.0698913249489328,0.0462891551100582,0.00115740740740741,0.605789286440276,0.0192850340117657
328.688,2021,6,17,19,84.875,22.75,14.938,0,200.125,6,0.25758779208156,0.0698913249489328,0.0462891551100582,0.00115740740740741,0.605789286440276,0.0192850340117657
328.688,2021,6,18,5,84.875,22.75,14.938,0,200.125,6,0.25758779208156,0.0698913249489328,0.0462891551100582,0.00115740740740741,0.605789286440276,0.0192850340117657
328.688,2021,6,18,8,84.875,22.75,14.938,0,200.125,6,0.25758779208156,0.0698913249489328,0.0462891551100582,0.00115740740740741,0.605789286440276,0.0192850340117657
328.688,2021,6,18,12,84.875,22.75,14.938,0,200.125,6,0.25758779208156,0.0698913249489328,0.0462891551100582,0.00115740740740741,0.605789286440276,0.0192850340117657
328.688,2021,6,18,16,84.875,22.75,14.938,0,200.125,6,0.25758779208156,0.0698913249489328,0.0462891551100582,0.00115740740740741,0.605789286440276,0.0192850340117657
328.688,2021,6,18,17,84.875,22.75,14.938,0,200.125,6,0.25758779208156,0.0698913249489328,0.0462891551100582,0.00115740740740741,0.605789286440276,0.0192850340117657
328.688,2021,6,18,22,84.875,22.75,14.938,0,200.125,6,0.25758779208156,0.0698913249489328,0.0462891551100582,0.00115740740740741,0.605789286440276,0.0192850340117657
328.688,2021,6,19,6,84.875,22.75,14.938,0,200.125,6,0.25758779208156,0.0698913249489328,0.0462891551100582,0.00115740740740741,0.605789286440276,0.0192850340117657
328.688,2021,6,19,10,84.875,22.75,14.938,0,200.125,6,0.25758779208156,0.0698913249489328,0.0462891551100582,0.00115740740740741,0.605789286440276,0.0192850340117657
328.688,2021,6,19,13,84.875,22.75,14.938,0,200.125,6,0.25758779208156,0.0698913249489328,0.0462891551100582,0.00115740740740741,0.605789286440276,0.0192850340117657
328.688,2021,6,19,20,84.875,22.75,14.938,0,200.125,6,0.25758779208156,0.0698913249489328,0.0462891551100582,0.00115740740740741,0.605789286440276,0.0192850340117657
328.688,2021,6,19,23,84.875,22.75,14.938,0,200.125,6,0.25758779208156,0.0698913249489328,0.0462891551100582,0.00115740740740741,0.605789286440276,0.0192850340117657
328.688,2021,6,20,8,84.875,22.75,14.938,0,200.125,6,0.25758779208156,0.0698913249489328,0.0462891551100582,0.00115740740740741,0.605789286440276,0.0192850340117657
328.688,2021,6,20,9,84.875,22.75,14.938,0,200.125,6,0.25758779208156,0.0698913249489328,0.0462891551100582,0.00115740740740741,0.605789286440276,0.0192850340117657
